NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
52,KY,134794,127567,127900,121256,117016,113789,107919,103611,99164,95973,92025
522320,KY,42002,38846,38229,38848,38096,34961,36274,33007,31366,27949,26694
54151,KY,113341,111480,115012,120150,119730,118820,113579,105401,107319,100412,97549
611420,KY,0,0,0,0,0,31661,0,0,0,0,*
811212,KY,37312,37934,37690,34829,39971,36811,37825,37038,35663,34881,33958
811213,KY,36437,36240,35773,30456,29562,29708,31315,30743,33249,33455,30207
10,LA,268532,266822,263290,247303,236046,222251,212101,204594,197959,188491,179467
11,LA,32627,30087,30068,28225,26158,24418,23224,23321,22227,21446,21001
323115,LA,38791,38417,36311,34577,35099,32515,31171,30754,30208,30769,29619
33411,LA,31987,0,64609,33539,0,0,0,0,0,0,*
334611,LA,0,0,66501,64427,58676,52596,49033,0,46429,40448,50643
423430,LA,65984,64995,64936,61198,61843,56526,51922,48154,49749,54133,51267
425110,LA,59710,56047,59100,56320,44841,40846,39685,37667,34823,37052,29717
443120,LA,44532,41108,30349,30687,28151,28033,27621,26593,26972,28640,30166
454111,LA,36141,33901,30882,30824,31833,27397,31472,29573,29795,0,25650
51,LA,148762,120115,112735,109400,103951,98509,94622,90850,88818,85224,80957
511210,LA,69121,69626,71520,72918,80864,79296,62805,57685,62057,57258,55609
518,LA,52259,54855,55242,54638,50176,39043,44408,44130,43118,42464,41595
519130,LA,56319,63000,70447,62391,*,*,*,*,*,*,*
52,LA,226561,220216,211538,166813,193129,154449,145358,135777,132894,125001,87721
522320,LA,57209,54320,49790,45492,39796,35822,31730,31905,28161,26665,27244
54151,LA,117891,113287,114146,93590,91854,94141,91011,76571,83748,47354,50732
611420,LA,45512,44906,48291,61462,55806,51486,45422,47115,40734,38687,36698
811212,LA,35133,36010,35965,34940,34197,29282,30244,30665,31716,30975,29632
811213,LA,50907,46632,45344,43880,41273,39044,36309,39831,39803,38709,37803
10,ME,255145,253723,250691,243767,233244,226387,218109,210429,203050,194643,185523
11,ME,33161,0,0,31863,30558,28804,27571,25500,25202,24894,24169
323115,ME,0,0,0,30831,30387,33695,41496,0,0,34487,*
33411,ME,*,*,*,0,0,0,0,0,0,0,*
334611,ME,*,0,0,0,0,0,*,0,0,0,*
423430,ME,92391,86832,84846,78243,75170,73033,69037,64182,62569,63654,61356
425110,ME,47739,48060,48826,52285,56473,58466,56376,58648,44244,47759,46171
443120,ME,48931,44856,52777,47887,43036,40172,40480,40601,38591,42217,37595
454111,ME,47028,48104,0,45736,39119,0,0,22123,28578,62123,*
